#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","OwningProcess"
"0.0.0.0","58556","0.0.0.0","0","Bound","5684"
"0.0.0.0","58543","0.0.0.0","0","Bound","4772"
"0.0.0.0","58245","0.0.0.0","0","Bound","4772"
"0.0.0.0","58220","0.0.0.0","0","Bound","4772"
"0.0.0.0","50461","0.0.0.0","0","Bound","4772"
"0.0.0.0","50449","0.0.0.0","0","Bound","4772"
"0.0.0.0","50357","0.0.0.0","0","Bound","6076"
"0.0.0.0","63702","0.0.0.0","0","Listen","688"
"0.0.0.0","59707","0.0.0.0","0","Listen","2940"
"10.129.3.132","58556","10.10.16.46","443","Established","5684"
"10.129.3.132","58543","10.10.16.46","4444","Established","4772"
"10.129.3.132","58245","10.10.16.46","4444","CloseWait","4772"
"10.129.3.132","58220","10.10.16.46","4444","CloseWait","4772"
"0.0.0.0","57509","0.0.0.0","0","Listen","204"
"0.0.0.0","56084","0.0.0.0","0","Listen","2220"
"0.0.0.0","53143","0.0.0.0","0","Listen","656"
"0.0.0.0","53140","0.0.0.0","0","Listen","2836"
"0.0.0.0","53139","0.0.0.0","0","Listen","688"
"10.129.3.132","50461","10.10.16.46","4444","CloseWait","4772"
"10.129.3.132","50357","10.10.16.46","8001","Established","6076"
"0.0.0.0","49670","0.0.0.0","0","Listen","1632"
"0.0.0.0","49668","0.0.0.0","0","Listen","688"
"0.0.0.0","49667","0.0.0.0","0","Listen","1712"
"0.0.0.0","49666","0.0.0.0","0","Listen","1236"
"0.0.0.0","49665","0.0.0.0","0","Listen","532"
"0.0.0.0","49664","0.0.0.0","0","Listen","688"
"0.0.0.0","9389","0.0.0.0","0","Listen","2872"
"0.0.0.0","6520","0.0.0.0","0","Listen","2220"
"10.129.3.132","5985","10.10.16.46","55612","Established","4"
"10.129.3.132","5985","10.10.16.46","44862","TimeWait","0"
"10.129.3.132","5985","10.10.16.46","55596","TimeWait","0"
"0.0.0.0","3389","0.0.0.0","0","Listen","388"
"0.0.0.0","3269","0.0.0.0","0","Listen","688"
"0.0.0.0","3268","0.0.0.0","0","Listen","688"
"0.0.0.0","636","0.0.0.0","0","Listen","688"
"0.0.0.0","593","0.0.0.0","0","Listen","924"
"0.0.0.0","389","0.0.0.0","0","Listen","688"
"10.129.3.132","139","0.0.0.0","0","Listen","4"
"0.0.0.0","135","0.0.0.0","0","Listen","924"
"127.0.0.1","53","0.0.0.0","0","Listen","204"
"10.129.3.132","53","0.0.0.0","0","Listen","204"
