mcp-dev@devhub:~$ ps auxf                                                                                                                                                                                                                                    
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND                                                                                                                                                                                   
root           2  0.0  0.0      0     0 ?        S    01:09   0:00 [kthreadd]                                                                                                                                                                                
root         102  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/30-pciehp]
root         103  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/31-pciehp]
root         104  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/32-pciehp]
root         105  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/33-pciehp]
root         106  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/34-pciehp]
root         107  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/35-pciehp]
root         108  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/36-pciehp]
root         109  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/37-pciehp]
root         110  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/38-pciehp]
root         111  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/39-pciehp]
root         112  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/40-pciehp]
root         113  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/41-pciehp]
root         114  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/42-pciehp]
root         115  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/43-pciehp]
root         116  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/44-pciehp]
root         117  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/45-pciehp]
root         118  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/46-pciehp]
root         119  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/47-pciehp]
root         120  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/48-pciehp]
root         121  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/49-pciehp]
root         122  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/50-pciehp]
root         123  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/51-pciehp]
root         124  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/52-pciehp]
root         125  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/53-pciehp]
root         126  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/54-pciehp]
root         127  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/55-pciehp]
root         128  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [acpi_thermal_pm]
root         130  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_0]
root         131  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_0]
root         132  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_1]

root         133  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_1]
root         135  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [vfio-irqfd-clea]
root         137  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [mld]
root         138  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kworker/1:1H-kblockd]
root         139  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [ipv6_addrconf]
root         150  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kstrp]
root         153  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [zswap-shrink]
root         154  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kworker/u5:0]
root         159  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [charger_manager]
root         205  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_2]
root         206  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_2]
root         207  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_3]
root         208  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_3]
root         209  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_4]
root         210  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_4]
root         211  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_5]
root         212  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [mpt_poll_0]
root         213  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_5]
root         214  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [mpt/0]
root         215  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_6]
root         216  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_6]
root         217  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [cryptd]
root         218  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_7]
root         219  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_7]
root         220  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_8]
root         221  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [ttm_swap]
root         222  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_8]
root         223  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_9]
root         224  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [irq/16-vmwgfx]
root         225  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_9]
root         226  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_10]
root         232  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_10]
root         239  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_11]
root         240  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_11]
root         242  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_12]
root         243  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_12]
root         244  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_13]
root         245  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_13]
root         257  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [card0-crtc0]
root         266  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [card0-crtc1]
root         268  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_14]
root         269  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [card0-crtc2]
root         270  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_14]
root         271  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_15]
root         272  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_15]
root         273  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [card0-crtc3]

root         266  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [card0-crtc1]                                                                                                                                                           09:48 [58/226]
root         268  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_14]
root         269  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [card0-crtc2]
root         270  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_14]
root         271  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_15]
root         272  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_15]
root         273  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [card0-crtc3]
root         275  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [card0-crtc4]
root         277  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [card0-crtc5]
root         278  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_16]
root         279  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_16]
root         281  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [card0-crtc6]
root         282  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_17]
root         283  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [card0-crtc7]
root         286  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_17]
root         287  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_18]
root         290  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_18]
root         292  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_19]
root         293  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_19]
root         297  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_20]
root         300  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_20]
root         301  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_21]
root         302  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_21]
root         304  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_22]
root         305  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_22]
root         306  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_23]
root         307  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_23]
root         309  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_24]
root         310  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_24]
root         311  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_25]
root         312  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_25]
root         313  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_26]
root         314  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_26]
root         315  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_27]
root         316  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_27]
root         317  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_28]
root         318  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_28]
root         319  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_29]
root         320  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_29]
root         321  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_30]
root         322  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_30]
root         323  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_31]
root         324  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_31]
root         351  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [scsi_eh_32]
root         352  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [scsi_tmf_32]
root         379  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kdmflush]
root         405  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [raid5wq]
root         405  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [raid5wq]                                                                                                                                                               09:48 [12/226]
root         453  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [jbd2/dm-0-8]
root         454  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [ext4-rsv-conver]
root         541  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kaluad]
root         546  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kmpath_rdacd]
root         547  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kmpathd]
root         550  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [kmpath_handlerd]
root         675  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [jbd2/sda2-8]
root         678  0.0  0.0      0     0 ?        I<   01:09   0:00  \_ [ext4-rsv-conver]
root         807  0.0  0.0      0     0 ?        S    01:09   0:00  \_ [audit_prune_tre]
root        1396  0.0  0.0      0     0 ?        I    01:15   0:02  \_ [kworker/1:1-events]
root        1450  0.0  0.0      0     0 ?        I    01:57   0:00  \_ [kworker/u4:2-flush-253:0]
root        1507  0.0  0.0      0     0 ?        I    02:12   0:00  \_ [kworker/u4:0-events_power_efficient]
root        1534  0.0  0.0      0     0 ?        I    02:28   0:00  \_ [kworker/1:2-events]
root        1535  0.0  0.0      0     0 ?        I    02:28   0:00  \_ [kworker/0:2-events]
root        1561  0.0  0.0      0     0 ?        I    02:42   0:00  \_ [kworker/u4:1-events_power_efficient]
root        1572  0.0  0.0      0     0 ?        I    02:43   0:00  \_ [kworker/0:0]
root        1693  0.0  0.0      0     0 ?        I    02:43   0:00  \_ [kworker/u4:3]
root           1  0.0  0.2 100896 11680 ?        Ss   01:09   0:01 /sbin/init
root         514  0.0  1.5 117936 60148 ?        S<s  01:09   0:01 /lib/systemd/systemd-journald
root         551  0.0  0.6 289456 27236 ?        SLsl 01:09   0:00 /sbin/multipathd -d -s
root         552  0.0  0.1  26068  6836 ?        Ss   01:09   0:00 /lib/systemd/systemd-udevd
systemd+     746  0.0  0.3  26340 13012 ?        Ss   01:09   0:00 /lib/systemd/systemd-resolved
systemd+     749  0.0  0.1  89364  6552 ?        Ssl  01:09   0:00 /lib/systemd/systemd-timesyncd
root         760  0.0  0.0  85820  2488 ?        S<sl 01:09   0:00 /sbin/auditd
_laurel      762  0.0  0.1  10020  6140 ?        S<   01:09   0:00  \_ /usr/local/sbin/laurel --config /etc/laurel/config.toml
root         806  0.0  0.2  51160 11792 ?        Ss   01:09   0:00 /usr/bin/VGAuthService
root         808  0.1  0.2 242316  9808 ?        Ssl  01:09   0:10 /usr/bin/vmtoolsd
root         853  0.0  0.1 101244  6044 ?        Ssl  01:09   0:00 /sbin/dhclient -1 -4 -v -i -pf /run/dhclient.eth0.pid -lf /var/lib/dhcp/dhclient.eth0.leases -I -df /var/lib/dhcp/dhclient6.eth0.leases eth0
message+     892  0.0  0.1   8804  4796 ?        Ss   01:09   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         896  0.0  0.0  82840  3976 ?        Ssl  01:09   0:00 /usr/sbin/irqbalance --foreground
root         898  0.0  0.4  32728 19752 ?        Ss   01:09   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         899  0.0  0.1 234512  6708 ?        Ssl  01:09   0:00 /usr/libexec/polkitd --no-debug
syslog       900  0.0  0.1 222404  5904 ?        Ssl  01:09   0:00 /usr/sbin/rsyslogd -n -iNONE
root         902  0.0  0.9 1326808 36344 ?       Ssl  01:09   0:01 /usr/lib/snapd/snapd
root         903  0.0  0.1  15368  7192 ?        Ss   01:09   0:00 /lib/systemd/systemd-logind
root         904  0.0  0.3 392576 12780 ?        Ssl  01:09   0:00 /usr/libexec/udisks2/udisksd
root         942  0.0  0.2 317968 11936 ?        Ssl  01:09   0:00 /usr/sbin/ModemManager
analyst     1072  0.1  2.4 182536 96288 ?        Ss   01:09   0:06 /home/analyst/jupyter-env/bin/python3 /home/analyst/jupyter-env/bin/jupyter-lab --ip=127.0.0.1 --port=8888 --no-browser --notebook-dir=/home/analyst/notebooks --ServerApp.token=a7f3b2c9d
mcp-dev     1073  0.0  1.6 1511676 64456 ?       Ssl  01:09   0:00 npm start
mcp-dev     1207  0.0  0.0   2892  1004 ?        S    01:09   0:00  \_ sh -c npx @mcpjam/inspector@1.4.2
mcp-dev     1209  0.0  2.4 1738536 96608 ?       Sl   01:09   0:03      \_ npm exec @mcpjam/inspector@1.4.2
mcp-dev     1263  0.0  0.0   2892   952 ?        S    01:09   0:00          \_ sh -c "inspector"
mcp-dev     1264  0.0  1.3 1442132 52132 ?       Sl   01:09   0:00              \_ node /opt/mcpjam/node_modules/.bin/inspector
mcp-dev     1271  0.0  3.9 2527112 156272 ?      Sl   01:09   0:04                  \_ node /opt/mcpjam/node_modules/@mcpjam/inspector/dist/server/index.js
root        1077  0.0  0.0   6896  3032 ?        Ss   01:09   0:00 /usr/sbin/cron -f -P
root        1078  0.0  0.7  37376 28716 ?        Ss   01:09   0:01 /home/analyst/jupyter-env/bin/python3 /opt/opsmcp/server.py
root        1098  0.0  0.0   6176  1100 tty1     Ss+  01:09   0:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
root        1104  0.0  0.2  15440  9192 ?        Ss   01:09   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root        1565  0.0  0.2  16928 10872 ?        Ss   02:43   0:00  \_ sshd: mcp-dev [priv]
mcp-dev     1671  0.0  0.2  17220  8064 ?        S    02:43   0:00      \_ sshd: mcp-dev@pts/0
mcp-dev     1674  0.0  0.1   8684  5480 pts/0    Ss   02:43   0:00          \_ -bash
mcp-dev     1696  0.0  0.0  10408  3752 pts/0    R+   02:45   0:00              \_ ps auxf
root        1124  0.0  0.0  55240  1680 ?        Ss   01:09   0:00 nginx: master process /usr/sbin/nginx -g daemon on; master_process on;
www-data    1125  0.0  0.1  55872  5572 ?        S    01:09   0:00  \_ nginx: worker process
www-data    1126  0.0  0.1  55872  5572 ?        S    01:09   0:00  \_ nginx: worker process
mcp-dev     1568  0.2  0.2  17188  9660 ?        Ss   02:43   0:00 /lib/systemd/systemd --user
mcp-dev     1569  0.0  0.0 103820  3900 ?        S    02:43   0:00  \_ (sd-pam)
