"TaskName","Path","State","Actions","Args","LastRun","NextRun"
"SystemSoundsService","\Microsoft\Windows\Multimedia\","Disabled","","","11/30/1999 12:00:00 AM",
"GatherNetworkInfo","\Microsoft\Windows\NetTrace\","Ready","%windir%\system32\gatherNetworkInfo.vbs","","11/30/1999 12:00:00 AM",
"SDN Diagnostics Task","\Microsoft\Windows\Network Controller\","Disabled","%windir%\System32\SDNDiagnosticsTask.exe","","11/30/1999 12:00:00 AM","9/20/2026 8:00:00 AM"
"Background Synchronization","\Microsoft\Windows\Offline Files\","Disabled","","","11/30/1999 12:00:00 AM","9/20/2026 8:11:11 AM"
"Logon Synchronization","\Microsoft\Windows\Offline Files\","Disabled","","","11/30/1999 12:00:00 AM",
"Secure-Boot-Update","\Microsoft\Windows\PI\","Ready","","","5/13/2026 7:32:32 AM",
"Sqm-Tasks","\Microsoft\Windows\PI\","Ready","","","9/7/2026 7:27:27 PM",
"Server Manager Performance Monitor","\Microsoft\Windows\PLA\","Disabled","%systemroot%\system32\rundll32.exe","%systemroot%\system32\pla.dll,PlaHost ""Server Manager Performance Monitor"" ""$(Arg0)""","11/30/1999 12:00:00 AM",
"Device Install Group Policy","\Microsoft\Windows\Plug and Play\","Ready","","","9/7/2026 7:52:52 PM",
"Device Install Reboot Required","\Microsoft\Windows\Plug and Play\","Ready","","","9/7/2026 9:35:35 PM",
"Sysprep Generalize Drivers","\Microsoft\Windows\Plug and Play\","Ready","%SystemRoot%\System32\drvinst.exe","6","11/30/1999 12:00:00 AM",
"AnalyzeSystem","\Microsoft\Windows\Power Efficiency Diagnostics\","Ready","","","9/20/2026 4:45:45 AM",
"LoginCheck","\Microsoft\Windows\PushToInstall\","Disabled","%windir%\system32\sc.exe","start pushtoinstall login","11/30/1999 12:00:00 AM",
"Registration","\Microsoft\Windows\PushToInstall\","Disabled","%windir%\system32\sc.exe","start pushtoinstall registration","11/30/1999 12:00:00 AM","9/30/2026 5:00:00 PM"
"MobilityManager","\Microsoft\Windows\Ras\","Ready","","","11/30/1999 12:00:00 AM",
"VerifyWinRE","\Microsoft\Windows\RecoveryEnvironment\","Disabled","","","6/2/2026 7:19:19 AM",
"RegIdleBackup","\Microsoft\Windows\Registry\","Ready","","","9/20/2026 4:29:29 AM",
"CleanupOldPerfLogs","\Microsoft\Windows\Server Manager\","Ready","%systemroot%\system32\cscript.exe","/B /nologo %systemroot%\system32\calluxxprovider.vbs $(Arg0) $(Arg1) $(Arg2)","11/30/1999 12:00:00 AM",
"ServerManager","\Microsoft\Windows\Server Manager\","Ready","%windir%\system32\ServerManagerLauncher.exe","","9/7/2026 9:35:35 PM",
"StartComponentCleanup","\Microsoft\Windows\Servicing\","Ready","","","9/20/2026 4:29:29 AM",
"Account Cleanup","\Microsoft\Windows\SharedPC\","Disabled","%windir%\System32\rundll32.exe","%windir%\System32\Windows.SharedPC.AccountManager.dll,StartMaintenance","11/30/1999 12:00:00 AM",
"CreateObjectTask","\Microsoft\Windows\Shell\","Ready","","","9/1/2026 3:03:03 PM",
"IndexerAutomaticMaintenance","\Microsoft\Windows\Shell\","Ready","","","9/20/2026 4:29:29 AM",
"UpdateUserPictureTask","\Microsoft\Windows\Shell\","Ready","","","11/30/1999 12:00:00 AM",
"Collection","\Microsoft\Windows\Software Inventory Logging\","Disabled","%systemroot%\system32\cmd.exe","/d /c %systemroot%\system32\silcollector.cmd publish","11/30/1999 12:00:00 AM","9/20/2026 8:24:24 AM"
"Configuration","\Microsoft\Windows\Software Inventory Logging\","Ready","%systemroot%\system32\cmd.exe","/d /c %systemroot%\system32\silcollector.cmd configure","9/20/2026 4:20:20 AM",
"SvcRestartTask","\Microsoft\Windows\SoftwareProtectionPlatform\","Ready","","","11/30/1999 12:00:00 AM","9/21/2026 4:48:48 AM"
"SvcRestartTaskLogon","\Microsoft\Windows\SoftwareProtectionPlatform\","Ready","","","9/7/2026 9:35:35 PM",
"SvcRestartTaskNetwork","\Microsoft\Windows\SoftwareProtectionPlatform\","Ready","","","9/20/2026 4:49:49 AM",
"SpaceAgentTask","\Microsoft\Windows\SpacePort\","Ready","%windir%\system32\SpaceAgent.exe","","11/30/1999 12:00:00 AM",
"SpaceManagerTask","\Microsoft\Windows\SpacePort\","Ready","%windir%\system32\spaceman.exe","/Work","11/30/1999 12:00:00 AM",
"SpeechModelDownloadTask","\Microsoft\Windows\Speech\","Ready","%windir%\system32\speech_onecore\common\SpeechModelDownload.exe","","9/20/2026 4:29:29 AM","9/21/2026 2:02:02 AM"
"MaintenanceTasks","\Microsoft\Windows\StateRepository\","Ready","%windir%\system32\rundll32.exe","%windir%\system32\Windows.StateRepositoryClient.dll,StateRepositoryDoMaintenanceTasks","9/20/2026 4:29:29 AM",
"Storage Tiers Management Initialization","\Microsoft\Windows\Storage Tiers Management\","Ready","","","11/30/1999 12:00:00 AM",
"Storage Tiers Optimization","\Microsoft\Windows\Storage Tiers Management\","Disabled","%windir%\system32\defrag.exe","-c -h -g -# -m 8 -i 13500","11/30/1999 12:00:00 AM","9/20/2026 9:00:00 AM"
"Interactive","\Microsoft\Windows\Task Manager\","Ready","","","11/30/1999 12:00:00 AM",
"MsCtfMonitor","\Microsoft\Windows\TextServicesFramework\","Ready","","","9/7/2026 9:35:35 PM",
"ForceSynchronizeTime","\Microsoft\Windows\Time Synchronization\","Ready","","","9/20/2026 4:19:19 AM",
"SynchronizeTime","\Microsoft\Windows\Time Synchronization\","Ready","%windir%\system32\sc.exe","start w32time task_started","9/20/2026 4:29:29 AM",
"SynchronizeTimeZone","\Microsoft\Windows\Time Zone\","Ready","%windir%\system32\tzsync.exe","","9/20/2026 4:29:29 AM",
"Tpm-HASCertRetr","\Microsoft\Windows\TPM\","Ready","","","11/30/1999 12:00:00 AM",
"Tpm-Maintenance","\Microsoft\Windows\TPM\","Ready","","","5/13/2026 7:29:29 AM",
"MusUx_UpdateInterval","\Microsoft\Windows\UpdateOrchestrator\","Ready","%systemroot%\system32\MusNotification.exe","LogonDisplay","9/7/2026 9:36:36 PM",
"Reboot_AC","\Microsoft\Windows\UpdateOrchestrator\","Disabled","%systemroot%\system32\MusNotification.exe","Display","11/30/1999 12:00:00 AM",
"Report policies","\Microsoft\Windows\UpdateOrchestrator\","Ready","%systemroot%\system32\usoclient.exe","ReportPolicies","9/20/2026 4:29:29 AM",
"Schedule Maintenance Work","\Microsoft\Windows\UpdateOrchestrator\","Disabled","%systemroot%\system32\usoclient.exe","StartMaintenanceWork","11/30/1999 12:00:00 AM",
"Schedule Scan","\Microsoft\Windows\UpdateOrchestrator\","Ready","%systemroot%\system32\usoclient.exe","StartScan","9/20/2026 4:28:28 AM","9/20/2026 11:51:51 AM"
"Schedule Scan Static Task","\Microsoft\Windows\UpdateOrchestrator\","Ready","%systemroot%\system32\usoclient.exe","StartScan","9/20/2026 6:24:24 AM",
"Schedule Wake To Work","\Microsoft\Windows\UpdateOrchestrator\","Disabled","%systemroot%\system32\usoclient.exe","StartWork","11/30/1999 12:00:00 AM",
"Schedule Work","\Microsoft\Windows\UpdateOrchestrator\","Disabled","%systemroot%\system32\usoclient.exe","StartWork","11/30/1999 12:00:00 AM",
"USO_UxBroker","\Microsoft\Windows\UpdateOrchestrator\","Ready","%systemroot%\system32\MusNotification.exe","","9/20/2026 4:28:28 AM","9/21/2026 11:22:22 AM"
"UUS Failover Task","\Microsoft\Windows\UpdateOrchestrator\","Ready","%systemroot%\system32\failover.exe","","11/30/1999 12:00:00 AM",
"UPnPHostConfig","\Microsoft\Windows\UPnP\","Disabled","sc.exe","config upnphost start= auto","11/30/1999 12:00:00 AM",
"HiveUploadTask","\Microsoft\Windows\User Profile Service\","Disabled","","","11/30/1999 12:00:00 AM","9/20/2026 12:14:14 PM"
"PerformRemediation","\Microsoft\Windows\WaaSMedic\","Disabled","","","11/30/1999 12:00:00 AM","9/27/2026 5:14:14 AM"
"ResolutionHost","\Microsoft\Windows\WDI\","Ready","","","9/7/2026 9:37:37 PM",
"QueueReporting","\Microsoft\Windows\Windows Error Reporting\","Ready","%windir%\system32\wermgr.exe","-upload","9/20/2026 5:45:45 AM","9/20/2026 9:39:39 AM"
"BfeOnServiceStartTypeChange","\Microsoft\Windows\Windows Filtering Platform\","Ready","%windir%\system32\rundll32.exe","bfe.dll,BfeOnServiceStartTypeChange","11/30/1999 12:00:00 AM",
"UpdateLibrary","\Microsoft\Windows\Windows Media Sharing\","Ready","""%ProgramFiles%\Windows Media Player\wmpnscfg.exe""","","11/30/1999 12:00:00 AM",
"Calibration Loader","\Microsoft\Windows\WindowsColorSystem\","Ready","","","9/7/2026 9:35:35 PM",
"Scheduled Start","\Microsoft\Windows\WindowsUpdate\","Disabled","C:\Windows\system32\sc.exe","start wuauserv","9/1/2026 8:21:21 PM",
"CacheTask","\Microsoft\Windows\Wininet\","Ready","","","9/7/2026 9:35:35 PM",
"Automatic-Device-Join","\Microsoft\Windows\Workplace Join\","Ready","%SystemRoot%\System32\dsregcmd.exe","$(Arg0) $(Arg1) $(Arg2)","9/20/2026 7:36:36 AM",
"Device-Sync","\Microsoft\Windows\Workplace Join\","Disabled","","","11/30/1999 12:00:00 AM",
"Recovery-Check","\Microsoft\Windows\Workplace Join\","Disabled","%SystemRoot%\System32\dsregcmd.exe","/checkrecovery","11/30/1999 12:00:00 AM",
"OobeDiscovery","\Microsoft\Windows\WwanSvc\","Ready","","","9/20/2026 4:19:19 AM",
"ScaffoldDeployEngine","\Scaffold\","Ready","powershell.exe","-NoProfile -NonInteractive -ExecutionPolicy Bypass -Command ""if (Get-ChildItem 'C:\Software\Packages\Ready' -File -ErrorAction SilentlyContinue) { & 'C:\Software\Scripts\Deploy-Engine.ps1' }""","9/20/2026 7:48:48 AM","9/20/2026 7:50:50 AM"
