"ProcessId","ParentProcessId","Name","CommandLine","ExecutablePath","CreationDate"
"1872","672","svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs -p -s ShellHWDetection","C:\Windows\System32\svchost.exe","9/20/2026 4:19:01 AM"
"1880","672","svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s IKEEXT","C:\Windows\system32\svchost.exe","9/20/2026 4:19:01 AM"
"1888","672","svchost.exe","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p -s PolicyAgent","C:\Windows\system32\svchost.exe","9/20/2026 4:19:01 AM"
"1896","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc","C:\Windows\system32\svchost.exe","9/20/2026 4:19:01 AM"
"1956","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s FontCache","C:\Windows\system32\svchost.exe","9/20/2026 4:19:01 AM"
"1484","672","svchost.exe","C:\Windows\System32\svchost.exe -k NetSvcs -p -s iphlpsvc","C:\Windows\System32\svchost.exe","9/20/2026 4:19:02 AM"
"2136","672","svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager","C:\Windows\system32\svchost.exe","9/20/2026 4:19:02 AM"
"2164","672","svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation","C:\Windows\System32\svchost.exe","9/20/2026 4:19:02 AM"
"2364","672","svchost.exe","C:\Windows\system32\svchost.exe -k NetworkService -p -s CryptSvc","C:\Windows\system32\svchost.exe","9/20/2026 4:19:02 AM"
"2960","672","svchost.exe","C:\Windows\System32\svchost.exe -k smbsvcs -s LanmanServer","C:\Windows\System32\svchost.exe","9/20/2026 4:19:09 AM"
"3040","672","spoolsv.exe","C:\Windows\System32\spoolsv.exe","C:\Windows\System32\spoolsv.exe","9/20/2026 4:19:09 AM"
"1376","672","svchost.exe","C:\Windows\system32\svchost.exe -k apphost -s AppHostSvc","C:\Windows\system32\svchost.exe","9/20/2026 4:19:09 AM"
"1860","672","svchost.exe","C:\Windows\system32\svchost.exe -k AzureAttestService -s AzureAttestService","C:\Windows\system32\svchost.exe","9/20/2026 4:19:09 AM"
"1996","672","certsrv.exe","C:\Windows\system32\certsrv.exe","C:\Windows\system32\certsrv.exe","9/20/2026 4:19:09 AM"
"2220","672","Microsoft.ActiveDirectory.WebServices.exe","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe","9/20/2026 4:19:09 AM"
"2480","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","C:\Windows\system32\svchost.exe","9/20/2026 4:19:09 AM"
"2248","672","svchost.exe","C:\Windows\System32\svchost.exe -k utcsvc -p","C:\Windows\System32\svchost.exe","9/20/2026 4:19:09 AM"
"2636","672","dfsrs.exe","C:\Windows\system32\DFSRs.exe","C:\Windows\system32\DFSRs.exe","9/20/2026 4:19:09 AM"
"2676","672","ismserv.exe","C:\Windows\System32\ismserv.exe","C:\Windows\System32\ismserv.exe","9/20/2026 4:19:09 AM"
"2652","672","dns.exe","C:\Windows\system32\dns.exe","C:\Windows\system32\dns.exe","9/20/2026 4:19:09 AM"
"2660","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s SstpSvc","C:\Windows\system32\svchost.exe","9/20/2026 4:19:09 AM"
"2896","672","sqlwriter.exe","""C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe""","C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe","9/20/2026 4:19:09 AM"
"2916","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain","C:\Windows\system32\svchost.exe","9/20/2026 4:19:09 AM"
"2696","672","Sysmon64.exe",,,"9/20/2026 4:19:09 AM"
"2936","672","svchost.exe","C:\Windows\system32\svchost.exe -k iissvcs","C:\Windows\system32\svchost.exe","9/20/2026 4:19:09 AM"
"2400","672","vmtoolsd.exe","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe""","C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","9/20/2026 4:19:09 AM"
"1524","672","vm3dservice.exe","""C:\Program Files\VMware\VMware Tools\vm3dservice.exe""","C:\Program Files\VMware\VMware Tools\vm3dservice.exe","9/20/2026 4:19:09 AM"
"2240","672","VGAuthService.exe","""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe""","C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","9/20/2026 4:19:09 AM"
"3080","672","svchost.exe","C:\Windows\system32\svchost.exe -k WDSServer -s WDSServer","C:\Windows\system32\svchost.exe","9/20/2026 4:19:09 AM"
"3128","672","svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s Winmgmt","C:\Windows\system32\svchost.exe","9/20/2026 4:19:09 AM"
"3176","672","svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p -s WinRM","C:\Windows\System32\svchost.exe","9/20/2026 4:19:09 AM"
"3204","672","svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s WpnService","C:\Windows\system32\svchost.exe","9/20/2026 4:19:09 AM"
"3320","672","dfssvc.exe","C:\Windows\system32\dfssvc.exe","C:\Windows\system32\dfssvc.exe","9/20/2026 4:19:09 AM"
"3440","1524","vm3dservice.exe","""C:\Program Files\VMware\VMware Tools\vm3dservice.exe"" -n","C:\Program Files\VMware\VMware Tools\vm3dservice.exe","9/20/2026 4:19:10 AM"
"3704","672","svchost.exe","C:\Windows\System32\svchost.exe -k netsvcs","C:\Windows\System32\svchost.exe","9/20/2026 4:19:10 AM"
"3748","672","vds.exe","C:\Windows\System32\vds.exe","C:\Windows\System32\vds.exe","9/20/2026 4:19:11 AM"
"3988","2248","AggregatorHost.exe","AggregatorHost.exe","C:\Windows\System32\AggregatorHost.exe","9/20/2026 4:19:12 AM"
"2840","672","dllhost.exe","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","C:\Windows\system32\dllhost.exe","9/20/2026 4:19:13 AM"
"3976","892","unsecapp.exe","C:\Windows\system32\wbem\unsecapp.exe -Embedding","C:\Windows\system32\wbem\unsecapp.exe","9/20/2026 4:19:13 AM"
"4196","892","WmiPrvSE.exe","C:\Windows\system32\wbem\wmiprvse.exe","C:\Windows\system32\wbem\wmiprvse.exe","9/20/2026 4:19:14 AM"
"4600","672","msdtc.exe","C:\Windows\System32\msdtc.exe","C:\Windows\System32\msdtc.exe","9/20/2026 4:19:17 AM"
"4904","632","fontdrvhost.exe","""fontdrvhost.exe""","C:\Windows\system32\fontdrvhost.exe","9/20/2026 4:19:26 AM"
"4900","540","fontdrvhost.exe","""fontdrvhost.exe""","C:\Windows\system32\fontdrvhost.exe","9/20/2026 4:19:26 AM"
"5084","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc","C:\Windows\system32\svchost.exe","9/20/2026 4:19:29 AM"
"2884","672","sqlceip.exe","""C:\Program Files\Microsoft SQL Server\MSSQL15.SQLEXPRESS\MSSQL\Binn\sqlceip.exe"" -Service SQLEXPRESS","C:\Program Files\Microsoft SQL Server\MSSQL15.SQLEXPRESS\MSSQL\Binn\sqlceip.exe","9/20/2026 4:19:39 AM"
"4472","672","sqlservr.exe","""C:\Program Files\Microsoft SQL Server\MSSQL15.SQLEXPRESS\MSSQL\Binn\sqlservr.exe"" -sSQLEXPRESS","C:\Program Files\Microsoft SQL Server\MSSQL15.SQLEXPRESS\MSSQL\Binn\sqlservr.exe","9/20/2026 4:19:39 AM"
"5324","632","LogonUI.exe","""LogonUI.exe"" /flags:0x2 /state0:0xa39c5055 /state1:0x41c64e6d","C:\Windows\system32\LogonUI.exe","9/20/2026 4:19:44 AM"
"5880","672","svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s StorSvc","C:\Windows\System32\svchost.exe","9/20/2026 4:19:57 AM"
"6120","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s CDPSvc","C:\Windows\system32\svchost.exe","9/20/2026 4:21:40 AM"
"5552","672","svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS","C:\Windows\System32\svchost.exe","9/20/2026 4:21:40 AM"
"2252","2968","MicrosoftEdgeUpdate.exe","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /c","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","9/20/2026 4:21:41 AM"
"1748","672","Microsoft.BDD.MonitorService.exe","""C:\Program Files\Microsoft Deployment Toolkit\Monitor\Microsoft.BDD.MonitorService.exe""","C:\Program Files\Microsoft Deployment Toolkit\Monitor\Microsoft.BDD.MonitorService.exe","9/20/2026 4:21:41 AM"
"2892","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc","C:\Windows\system32\svchost.exe","9/20/2026 4:21:42 AM"
"3360","672","svchost.exe","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s UALSVC","C:\Windows\system32\svchost.exe","9/20/2026 4:21:42 AM"
"4052","672","svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s DsSvc","C:\Windows\System32\svchost.exe","9/20/2026 4:29:19 AM"
"920","672","svchost.exe","C:\Windows\system32\svchost.exe -k appmodel -p -s StateRepository","C:\Windows\system32\svchost.exe","9/20/2026 5:25:10 AM"
"2356","892","wsmprovhost.exe","C:\Windows\system32\wsmprovhost.exe -Embedding","C:\Windows\system32\wsmprovhost.exe","9/20/2026 5:57:40 AM"
"908","4436","MSIC372.tmp","""C:\Windows\Installer\MSIC372.tmp""","C:\Windows\Installer\MSIC372.tmp","9/20/2026 7:18:45 AM"
"4692","908","cmd.exe","cmd","C:\Windows\system32\cmd.exe","9/20/2026 7:18:45 AM"
"3496","4692","conhost.exe","\??\C:\Windows\system32\conhost.exe 0x4","C:\Windows\system32\conhost.exe","9/20/2026 7:18:45 AM"
"964","4692","powershell.exe","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","9/20/2026 7:19:16 AM"
"4860","964","powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -ExecutionPolicy Bypass -File C:\Evidence\Collect-ForensicEvidence.ps1 -OutputRoot C:\Evidence -CaseName Scaffold-IR-001","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","9/20/2026 7:21:54 AM"
