"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","OwningProcess"
"::","88","::","0","Listen","692"
"::","80","::","0","Listen","4"
"fe80::a923:d33c:16be:38e5%12","53","::","0","Listen","2652"
"dead:beef::a923:d33c:16be:38e5","53","::","0","Listen","2652"
"dead:beef::1d8","53","::","0","Listen","2652"
"::1","53","::","0","Listen","2652"
"0.0.0.0","62530","0.0.0.0","0","Bound","908"
"10.129.246.248","62530","10.10.17.121","4444","Established","908"
"0.0.0.0","58433","0.0.0.0","0","Listen","1888"
"10.129.246.248","55502","10.129.246.248","53","TimeWait","0"
"0.0.0.0","53506","0.0.0.0","0","Listen","2636"
"0.0.0.0","53490","0.0.0.0","0","Listen","1996"
"0.0.0.0","53425","0.0.0.0","0","Listen","2652"
"0.0.0.0","53412","0.0.0.0","0","Listen","672"
"0.0.0.0","53388","0.0.0.0","0","Listen","3040"
"0.0.0.0","53387","0.0.0.0","0","Listen","692"
"0.0.0.0","52951","0.0.0.0","0","Listen","4472"
"0.0.0.0","49668","0.0.0.0","0","Listen","692"
"0.0.0.0","49667","0.0.0.0","0","Listen","1612"
"0.0.0.0","49666","0.0.0.0","0","Listen","1180"
"0.0.0.0","49665","0.0.0.0","0","Listen","540"
"0.0.0.0","49664","0.0.0.0","0","Listen","692"
"0.0.0.0","9389","0.0.0.0","0","Listen","2220"
"0.0.0.0","5040","0.0.0.0","0","Listen","3080"
"0.0.0.0","3269","0.0.0.0","0","Listen","692"
"0.0.0.0","3268","0.0.0.0","0","Listen","692"
"0.0.0.0","636","0.0.0.0","0","Listen","692"
"0.0.0.0","593","0.0.0.0","0","Listen","932"
"0.0.0.0","389","0.0.0.0","0","Listen","692"
"10.129.246.248","139","0.0.0.0","0","Listen","4"
"0.0.0.0","135","0.0.0.0","0","Listen","932"
"127.0.0.1","53","0.0.0.0","0","Listen","2652"
"10.129.246.248","53","0.0.0.0","0","Listen","2652"
