"Name","DisplayName","State","StartMode","PathName","StartName"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","C:\Windows\System32\svchost.exe -k wsappx -p","LocalSystem"
"COMSysApp","COM+ System Application","Running","Manual","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","LocalSystem"
"CoreMessagingRegistrar","CoreMessaging","Running","Auto","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","NT AUTHORITY\LocalService"
"CryptSvc","Cryptographic Services","Running","Auto","C:\Windows\system32\svchost.exe -k NetworkService -p","NT Authority\NetworkService"
"CscService","Offline Files","Stopped","Disabled","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"DcomLaunch","DCOM Server Process Launcher","Running","Auto","C:\Windows\system32\svchost.exe -k DcomLaunch -p","LocalSystem"
"defragsvc","Optimize drives","Stopped","Manual","C:\Windows\system32\svchost.exe -k defragsvc","localSystem"
"DeviceAssociationService","Device Association Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"DeviceInstall","Device Install Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k DcomLaunch -p","LocalSystem"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"Dfs","DFS Namespace","Running","Auto","C:\Windows\system32\dfssvc.exe","LocalSystem"
"DFSR","DFS Replication","Running","Auto","C:\Windows\system32\DFSRs.exe","LocalSystem"
"Dhcp","DHCP Client","Running","Auto","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","NT Authority\LocalService"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped","Manual","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe","LocalSystem"
"DiagTrack","Connected User Experiences and Telemetry","Running","Auto","C:\Windows\System32\svchost.exe -k utcsvc -p","LocalSystem"
"DispBrokerDesktopSvc","Display Policy Service","Running","Auto","C:\Windows\system32\svchost.exe -k LocalService -p","NT AUTHORITY\LocalService"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Disabled","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"DNS","DNS Server","Running","Auto","C:\Windows\system32\dns.exe","LocalSystem"
"Dnscache","DNS Client","Running","Auto","C:\Windows\system32\svchost.exe -k NetworkService -p","NT AUTHORITY\NetworkService"
"DoSvc","Delivery Optimization","Stopped","Manual","C:\Windows\System32\svchost.exe -k NetworkService -p","NT Authority\NetworkService"
"dot3svc","Wired AutoConfig","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","localSystem"
"DPS","Diagnostic Policy Service","Running","Auto","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p","NT AUTHORITY\LocalService"
"DsmSvc","Device Setup Manager","Running","Manual","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"DsRoleSvc","DS Role Server","Stopped","Manual","C:\Windows\System32\lsass.exe","LocalSystem"
"DsSvc","Data Sharing Service","Running","Manual","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"EapHost","Extensible Authentication Protocol","Stopped","Manual","C:\Windows\System32\svchost.exe -k netsvcs -p","localSystem"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Auto","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc","LocalSystem"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /medsvc","LocalSystem"
"EFS","Encrypting File System (EFS)","Stopped","Manual","C:\Windows\System32\lsass.exe","LocalSystem"
"embeddedmode","Embedded Mode","Stopped","Manual","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k appmodel -p","LocalSystem"
"EventLog","Windows Event Log","Running","Auto","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","NT AUTHORITY\LocalService"
"EventSystem","COM+ Event System","Running","Auto","C:\Windows\system32\svchost.exe -k LocalService -p","NT AUTHORITY\LocalService"
"fdPHost","Function Discovery Provider Host","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalService -p","NT AUTHORITY\LocalService"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","NT AUTHORITY\LocalService"
"FontCache","Windows Font Cache Service","Running","Auto","C:\Windows\system32\svchost.exe -k LocalService -p","NT AUTHORITY\LocalService"
"FrameServer","Windows Camera Frame Server","Stopped","Manual","C:\Windows\System32\svchost.exe -k Camera","NT AUTHORITY\LocalService"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual","C:\Windows\System32\svchost.exe -k CameraMonitor","LocalSystem"
"gpsvc","Group Policy Client","Running","Auto","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Disabled","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup","LocalSystem"
"hidserv","Human Interface Device Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"HvHost","HV Host Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running","Auto","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"InstallService","Microsoft Store Install Service","Stopped","Manual","C:\Windows\System32\svchost.exe -k netsvcs -p","LocalSystem"
"iphlpsvc","IP Helper","Running","Auto","C:\Windows\System32\svchost.exe -k NetSvcs -p","LocalSystem"
"IsmServ","Intersite Messaging","Running","Auto","C:\Windows\System32\ismserv.exe","LocalSystem"
"Kdc","Kerberos Key Distribution Center","Running","Auto","C:\Windows\System32\lsass.exe","LocalSystem"
"KdsSvc","Microsoft Key Distribution Service","Stopped","Manual","C:\Windows\system32\lsass.exe","LocalSystem"
"KeyIso","CNG Key Isolation","Running","Manual","C:\Windows\system32\lsass.exe","LocalSystem"
"KPSSVC","KDC Proxy Server service (KPS)","Stopped","Manual","C:\Windows\system32\svchost.exe -k KpsSvcGroup","NT AUTHORITY\NetworkService"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p","NT AUTHORITY\NetworkService"
"LanmanServer","Server","Running","Auto","C:\Windows\System32\svchost.exe -k smbsvcs","LocalSystem"
"LanmanWorkstation","Workstation","Running","Auto","C:\Windows\System32\svchost.exe -k NetworkService -p","NT AUTHORITY\NetworkService"
"lfsvc","Geolocation Service","Stopped","Disabled","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"LicenseManager","Windows License Manager Service","Stopped","Manual","C:\Windows\System32\svchost.exe -k LocalService -p","NT Authority\LocalService"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Disabled","C:\Windows\System32\svchost.exe -k LocalService -p","NT AUTHORITY\LocalService"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","NT AUTHORITY\LocalService"
"LSM","Local Session Manager","Running","Auto","C:\Windows\system32\svchost.exe -k DcomLaunch -p","LocalSystem"
"MapsBroker","Downloaded Maps Manager","Stopped","Disabled","C:\Windows\System32\svchost.exe -k NetworkService -p","NT AUTHORITY\NetworkService"
"McpManagementService","McpManagementService","Stopped","Manual","C:\Windows\system32\svchost.exe -k McpManagementServiceGroup","LocalSystem"
"MDCoreSvc","Microsoft Defender Core Service","Stopped","Manual","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MpDefenderCoreService.exe""","LocalSystem"
"MDT_Monitor","Microsoft Deployment Toolkit Monitor Service","Running","Auto","""C:\Program Files\Microsoft Deployment Toolkit\Monitor\Microsoft.BDD.MonitorService.exe""","scaffold.htb\svc_mdtmonitor"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual","""C:\Program Files (x86)\Microsoft\Edge\Application\148.0.3967.54\elevation_service.exe""","LocalSystem"
"mpssvc","Windows Defender Firewall","Running","Auto","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","NT Authority\LocalService"
"MSDTC","Distributed Transaction Coordinator","Running","Auto","C:\Windows\System32\msdtc.exe","NT AUTHORITY\NetworkService"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"msiserver","Windows Installer","Stopped","Manual","C:\Windows\system32\msiexec.exe /V","LocalSystem"
"MSSQL$SQLEXPRESS","SQL Server (SQLEXPRESS)","Running","Auto","""C:\Program Files\Microsoft SQL Server\MSSQL15.SQLEXPRESS\MSSQL\Binn\sqlservr.exe"" -sSQLEXPRESS","NT Service\MSSQL$SQLEXPRESS"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","C:\Windows\System32\svchost.exe -k NetSvcs -p","LocalSystem"
"NcbService","Network Connection Broker","Running","Manual","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"Netlogon","Netlogon","Running","Auto","C:\Windows\system32\lsass.exe","LocalSystem"
"Netman","Network Connections","Stopped","Manual","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"netprofm","Network List Service","Running","Manual","C:\Windows\System32\svchost.exe -k LocalService -p","NT AUTHORITY\LocalService"
"NetSetupSvc","Network Setup Service","Stopped","Manual","C:\Windows\System32\svchost.exe -k netsvcs -p","LocalSystem"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","NT AUTHORITY\LocalService"
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","NT AUTHORITY\LocalService"
"NgcSvc","Microsoft Passport","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"NlaSvc","Network Location Awareness","Running","Auto","C:\Windows\System32\svchost.exe -k NetworkService -p","NT AUTHORITY\NetworkService"
"nsi","Network Store Interface Service","Running","Auto","C:\Windows\system32\svchost.exe -k LocalService -p","NT Authority\LocalService"
"NTDS","Active Directory Domain Services","Running","Auto","C:\Windows\System32\lsass.exe","LocalSystem"
"NtFrs","File Replication","Stopped","Disabled","C:\Windows\system32\ntfrs.exe","LocalSystem"
"PcaSvc","Program Compatibility Assistant Service","Running","Auto","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"PerfHost","Performance Counter DLL Host","Stopped","Manual","C:\Windows\SysWow64\perfhost.exe","NT AUTHORITY\LocalService"
"pla","Performance Logs & Alerts","Stopped","Manual","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p","NT AUTHORITY\LocalService"
"PlugPlay","Plug and Play","Running","Manual","C:\Windows\system32\svchost.exe -k DcomLaunch -p","LocalSystem"
"PolicyAgent","IPsec Policy Agent","Running","Manual","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p","NT Authority\NetworkService"
"Power","Power","Running","Auto","C:\Windows\system32\svchost.exe -k DcomLaunch -p","LocalSystem"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual","C:\Windows\system32\svchost.exe -k print","LocalSystem"
"ProfSvc","User Profile Service","Running","Auto","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"PushToInstall","Windows PushToInstall Service","Stopped","Disabled","C:\Windows\System32\svchost.exe -k netsvcs -p","LocalSystem"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","NT AUTHORITY\LocalService"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual","C:\Windows\System32\svchost.exe -k netsvcs -p","localSystem"
"RasMan","Remote Access Connection Manager","Running","Auto","C:\Windows\System32\svchost.exe -k netsvcs","localSystem"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled","C:\Windows\System32\svchost.exe -k netsvcs","localSystem"
"RemoteRegistry","Remote Registry","Stopped","Auto","C:\Windows\system32\svchost.exe -k localService -p","NT AUTHORITY\LocalService"
"RmSvc","Radio Management Service","Stopped","Disabled","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","NT AUTHORITY\LocalService"
"RpcEptMapper","RPC Endpoint Mapper","Running","Auto","C:\Windows\system32\svchost.exe -k RPCSS -p","NT AUTHORITY\NetworkService"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual","C:\Windows\system32\locator.exe","NT AUTHORITY\NetworkService"
"RpcSs","Remote Procedure Call (RPC)","Running","Auto","C:\Windows\system32\svchost.exe -k rpcss -p","NT AUTHORITY\NetworkService"
"RSoPProv","Resultant Set of Policy Provider","Stopped","Manual","C:\Windows\system32\RSoPProv.exe","LocalSystem"
"sacsvr","Special Administration Console Helper","Stopped","Manual","C:\Windows\System32\svchost.exe -k netsvcs -p","LocalSystem"
"SamSs","Security Accounts Manager","Running","Auto","C:\Windows\system32\lsass.exe","LocalSystem"
"SCardSvr","Smart Card","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","NT AUTHORITY\LocalService"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Disabled","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","LocalSystem"
"Schedule","Task Scheduler","Running","Auto","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual","C:\Windows\system32\svchost.exe -k netsvcs","LocalSystem"
"seclogon","Secondary Logon","Stopped","Manual","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"SecurityHealthService","Windows Security Service","Stopped","Manual","C:\Windows\system32\SecurityHealthService.exe","LocalSystem"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Disabled","C:\Windows\system32\svchost.exe -k LocalService -p","NT AUTHORITY\LocalService"
"SENS","System Event Notification Service","Running","Auto","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"Sense","Windows Defender Advanced Threat Protection Service","Stopped","Manual","""C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe""","LocalSystem"
"SensorDataService","Sensor Data Service","Stopped","Disabled","C:\Windows\System32\SensorDataService.exe","LocalSystem"
"SensorService","Sensor Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","NT AUTHORITY\LocalService"
"SessionEnv","Remote Desktop Configuration","Stopped","Manual","C:\Windows\System32\svchost.exe -k netsvcs -p","localSystem"
"SgrmBroker","System Guard Runtime Monitor Broker","Stopped","Manual","C:\Windows\system32\SgrmBroker.exe","LocalSystem"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped","Disabled","C:\Windows\System32\svchost.exe -k netsvcs -p","LocalSystem"
"ShellHWDetection","Shell Hardware Detection","Running","Auto","C:\Windows\System32\svchost.exe -k netsvcs -p","LocalSystem"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled","C:\Windows\System32\svchost.exe -k netsvcs -p","LocalSystem"
"smphost","Microsoft Storage Spaces SMP","Stopped","Manual","C:\Windows\System32\svchost.exe -k smphost","NT AUTHORITY\NetworkService"
"SNMPTRAP","SNMP Trap","Stopped","Manual","C:\Windows\System32\snmptrap.exe","NT AUTHORITY\LocalService"
"Spooler","Print Spooler","Running","Auto","C:\Windows\System32\spoolsv.exe","LocalSystem"
"sppsvc","Software Protection","Stopped","Auto","C:\Windows\system32\sppsvc.exe","NT AUTHORITY\NetworkService"
"SQLAgent$SQLEXPRESS","SQL Server Agent (SQLEXPRESS)","Stopped","Disabled","""C:\Program Files\Microsoft SQL Server\MSSQL15.SQLEXPRESS\MSSQL\Binn\SQLAGENT.EXE"" -i SQLEXPRESS","NT AUTHORITY\NETWORKSERVICE"
"SQLBrowser","SQL Server Browser","Stopped","Disabled","""C:\Program Files (x86)\Microsoft SQL Server\90\Shared\sqlbrowser.exe""","NT AUTHORITY\LOCALSERVICE"
"SQLTELEMETRY$SQLEXPRESS","SQL Server CEIP service (SQLEXPRESS)","Running","Auto","""C:\Program Files\Microsoft SQL Server\MSSQL15.SQLEXPRESS\MSSQL\Binn\sqlceip.exe"" -Service SQLEXPRESS","NT Service\SQLTELEMETRY$SQLEXPRESS"
"SQLWriter","SQL Server VSS Writer","Running","Auto","""C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe""","LocalSystem"
"SSDPSRV","SSDP Discovery","Stopped","Disabled","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","NT AUTHORITY\LocalService"
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled","C:\Windows\System32\OpenSSH\ssh-agent.exe","LocalSystem"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual","C:\Windows\system32\svchost.exe -k LocalService -p","NT Authority\LocalService"
"StateRepository","State Repository Service","Running","Auto","C:\Windows\system32\svchost.exe -k appmodel -p","LocalSystem"
"StiSvc","Windows Image Acquisition (WIA)","Stopped","Manual","C:\Windows\system32\svchost.exe -k imgsvc","NT Authority\LocalService"
"StorSvc","Storage Service","Running","Auto","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"svsvc","Spot Verifier","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual","C:\Windows\System32\svchost.exe -k swprv","LocalSystem"
"SysMain","SysMain","Running","Auto","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"Sysmon64","Sysmon64","Running","Auto","C:\Windows\Sysmon64.exe","LocalSystem"
"SystemEventsBroker","System Events Broker","Running","Auto","C:\Windows\system32\svchost.exe -k DcomLaunch -p","LocalSystem"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Stopped","Manual","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"tapisrv","Telephony","Stopped","Manual","C:\Windows\System32\svchost.exe -k NetworkService -p","NT AUTHORITY\NetworkService"
"TermService","Remote Desktop Services","Stopped","Manual","C:\Windows\System32\svchost.exe -k termsvcs","NT Authority\NetworkService"
"Themes","Themes","Running","Auto","C:\Windows\System32\svchost.exe -k netsvcs -p","LocalSystem"
"TieringEngineService","Storage Tiers Management","Stopped","Manual","C:\Windows\system32\TieringEngineService.exe","localSystem"
"TimeBrokerSvc","Time Broker","Running","Manual","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","NT AUTHORITY\LocalService"
"TokenBroker","Web Account Manager","Stopped","Manual","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"TrkWks","Distributed Link Tracking Client","Stopped","Manual","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"TrustedInstaller","Windows Modules Installer","Stopped","Disabled","C:\Windows\servicing\TrustedInstaller.exe","localSystem"
"tzautoupdate","Auto Time Zone Updater","Stopped","Disabled","C:\Windows\system32\svchost.exe -k LocalService -p","NT AUTHORITY\LocalService"
"UALSVC","User Access Logging Service","Running","Auto","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"UevAgentService","User Experience Virtualization Service","Stopped","Disabled","C:\Windows\system32\AgentService.exe","LocalSystem"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped","Manual","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","localSystem"
"upnphost","UPnP Device Host","Stopped","Disabled","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","NT AUTHORITY\LocalService"
"UserManager","User Manager","Running","Auto","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"UsoSvc","Update Orchestrator Service","Stopped","Disabled","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"VaultSvc","Credential Manager","Stopped","Manual","C:\Windows\system32\lsass.exe","LocalSystem"
"vds","Virtual Disk","Running","Manual","C:\Windows\System32\vds.exe","LocalSystem"
"VGAuthService","VMware Alias Manager and Ticket Service","Running","Auto","""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe""","LocalSystem"
"VM3DService","VMware SVGA Helper Service","Running","Auto","""C:\Program Files\VMware\VMware Tools\vm3dservice.exe""","LocalSystem"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k ICService -p","LocalSystem"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","NT AUTHORITY\LocalService"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"VMTools","VMware Tools","Running","Auto","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe""","LocalSystem"
"vmvss","VMware Snapshot Provider","Stopped","Manual","C:\Windows\system32\dllhost.exe /Processid:{1490D70E-AF0C-497B-9D99-D53F2F660548}","LocalSystem"
"VSS","Volume Shadow Copy","Stopped","Manual","C:\Windows\system32\vssvc.exe","LocalSystem"
"W32Time","Windows Time","Running","Auto","C:\Windows\system32\svchost.exe -k LocalService","NT AUTHORITY\LocalService"
"w3logsvc","W3C Logging Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k apphost","localSystem"
"W3SVC","World Wide Web Publishing Service","Running","Auto","C:\Windows\system32\svchost.exe -k iissvcs","localSystem"
"WaaSMedicSvc","Windows Update Medic Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k wusvcs -p","LocalSystem"
"WalletService","WalletService","Stopped","Disabled","C:\Windows\System32\svchost.exe -k appmodel -p","LocalSystem"
"WarpJITSvc","Warp JIT Service","Stopped","Manual","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","NT Authority\LocalService"
"WAS","Windows Process Activation Service","Running","Manual","C:\Windows\system32\svchost.exe -k iissvcs","localSystem"
"WbioSrvc","Windows Biometric Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k WbioSvcGroup","LocalSystem"
"Wcmsvc","Windows Connection Manager","Running","Auto","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","NT Authority\LocalService"
"WdiServiceHost","Diagnostic Service Host","Stopped","Manual","C:\Windows\System32\svchost.exe -k LocalService -p","NT AUTHORITY\LocalService"
"WdiSystemHost","Diagnostic System Host","Stopped","Manual","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Stopped","Manual","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\NisSrv.exe""","NT AUTHORITY\LocalService"
"WDSServer","Windows Deployment Services Server","Running","Auto","C:\Windows\system32\svchost.exe -k WDSServer","localsystem"
"Wecsvc","Windows Event Collector","Stopped","Manual","C:\Windows\system32\svchost.exe -k NetworkService -p","NT AUTHORITY\NetworkService"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k WepHostSvcGroup","NT AUTHORITY\LocalService"
