#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","OwningProcess"
"0.0.0.0","49671","0.0.0.0","0","Listen","712"
"192.168.100.1","49670","192.168.100.2","49701","Established","712"
"0.0.0.0","49670","0.0.0.0","0","Listen","712"
"0.0.0.0","49669","0.0.0.0","0","Listen","2320"
"0.0.0.0","49667","0.0.0.0","0","Listen","712"
"0.0.0.0","49666","0.0.0.0","0","Listen","1664"
"0.0.0.0","49665","0.0.0.0","0","Listen","1324"
"0.0.0.0","49664","0.0.0.0","0","Listen","540"
"0.0.0.0","9389","0.0.0.0","0","Listen","2636"
"10.129.75.61","5985","10.10.16.25","41122","Established","4"
"10.129.75.61","5985","10.10.16.25","52380","TimeWait","0"
"10.129.75.61","5985","10.10.16.25","41112","TimeWait","0"
"0.0.0.0","3389","0.0.0.0","0","Listen","532"
"0.0.0.0","3269","0.0.0.0","0","Listen","712"
"0.0.0.0","3268","0.0.0.0","0","Listen","712"
"0.0.0.0","2179","0.0.0.0","0","Listen","3108"
"0.0.0.0","636","0.0.0.0","0","Listen","712"
"0.0.0.0","593","0.0.0.0","0","Listen","980"
"192.168.100.1","389","192.168.100.2","49745","Established","712"
"0.0.0.0","389","0.0.0.0","0","Listen","712"
"192.168.100.1","139","0.0.0.0","0","Listen","4"
"10.129.75.61","139","0.0.0.0","0","Listen","4"
"0.0.0.0","135","0.0.0.0","0","Listen","980"
"192.168.100.1","53","0.0.0.0","0","Listen","1376"
"127.0.0.1","53","0.0.0.0","0","Listen","1376"
"10.129.75.61","53","0.0.0.0","0","Listen","1376"
